user,Seller Balance,Sell Token,Buyer Balance,Buy Token,Auction Index,Sell Token Name,Sell Token Name,Sell Token Address,Buy Token Address,Sell Token Decimals,Sell Token Decimals,Seller Balance Atoms,Buyer Balance Atoms
0x43306FbE0F1c9f68CA60d9b3AF8409a86CdA6552,0,RDN,0.0009925125,WETH,14,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,992512500000000
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,RDN,3.187858581334360749,WETH,17,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,3187858581334360749
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,RDN,0.733566462596008377,WETH,104,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,733566462596008377
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,RDN,5.171853272120603591,WETH,140,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,5171853272120603591
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,RDN,0.516843303126482211,WETH,255,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,516843303126482211
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,RDN,0.712434825780861884,WETH,296,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,712434825780861884
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,RDN,0.413166953073561846,WETH,297,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,413166953073561846
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,RDN,1.11748812994450648,WETH,299,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,1117488129944506480
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,RDN,1.009432135163585177,WETH,312,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,1009432135163585177
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,RDN,1.713308168248130927,WETH,315,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,1713308168248130927
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,RDN,2.689105588051869812,WETH,334,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,2689105588051869812
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,RDN,2.582036175881584507,WETH,335,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,2582036175881584507
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,RDN,2.903965362007070777,WETH,336,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,2903965362007070777
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,RDN,0.784084875,WETH,337,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,784084875000000000
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,RDN,2.878401757924574992,WETH,338,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,2878401757924574992
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,RDN,2.482653910444538803,WETH,342,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,2482653910444538803
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,RDN,3.861226878485160527,WETH,348,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,3861226878485160527
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,RDN,3.882437004603611998,WETH,349,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,3882437004603611998
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,RDN,2.790606952430817796,WETH,350,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,2790606952430817796
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,RDN,1.359742125,WETH,351,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,1359742125000000000
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,RDN,1.994950125,WETH,357,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,1994950125000000000
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,RDN,1.022287875,WETH,360,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,1022287875000000000
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,RDN,0.995476214634231225,WETH,415,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,995476214634231225
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,RDN,0.4059376125,WETH,428,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,405937612500000000
0xd5bC4A8E0704C0A76b9531318a756a9FEf969F95,0,RDN,1.898881852414440701,WETH,61,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,1898881852414440701
0x000000001e29fcd9B1469a7954DC65ff254FFfC0,0,RDN,2.487280371826499257,WETH,348,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,2487280371826499257
0x00000000Af5A61acAf76190794E3fdf1289288A1,0,RDN,14.910315218856524644,WETH,486,Raiden Token,Wrapped Ether,0x255Aa6DF07540Cb5d3d297f0D0D4D84cb52bc8e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,14910315218856524644
0x2dd2afA618F497EFdb3A8c1707b06DC00b31fa19,6.188379166666666667,WETH,0,OMG,191,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,6188379166666666667,0
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,WETH,131.39779954005,OMG,38,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,0,131397799540050000000
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,WETH,343.26773182663820061,OMG,95,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,0,343267731826638200610
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,WETH,3.2238,OMG,110,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,0,3223800000000000000
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,WETH,37.81,OMG,138,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,0,37810000000000000000
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,WETH,25.87,OMG,180,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,0,25870000000000000000
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,WETH,248.75,OMG,227,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,0,248750000000000000000
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,WETH,51.411195896243738412,OMG,276,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,0,51411195896243738412
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,WETH,217.2311555388528711,OMG,315,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,0,217231155538852871100
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,WETH,140.817020229405026084,OMG,322,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,0,140817020229405026084
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,WETH,29.83266295031428839,OMG,350,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,0,29832662950314288390
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,WETH,101.38055,OMG,389,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,0,101380550000000000000
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,WETH,131.604571657567765356,OMG,407,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,0,131604571657567765356
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,WETH,186.492502503401718423,OMG,411,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,0,186492502503401718423
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,WETH,25.733055930442446777,OMG,435,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,0,25733055930442446777
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,WETH,63.012525613457075884,OMG,446,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,0,63012525613457075884
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,WETH,95.523892449338432779,OMG,462,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,0,95523892449338432779
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,WETH,102.800122311158868532,OMG,615,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,0,102800122311158868532
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,WETH,35.371294764265514328,OMG,628,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,0,35371294764265514328
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,WETH,192.853510132469842494,OMG,678,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,0,192853510132469842494
0x50a32dd491485BFae6F85A6Fee94ef0cAdcc101c,0,WETH,280.389244894598571687,OMG,168,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,0,280389244894598571687
0x50a32dd491485BFae6F85A6Fee94ef0cAdcc101c,0,WETH,435.441563479676212959,OMG,213,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,0,435441563479676212959
0x50a32dd491485BFae6F85A6Fee94ef0cAdcc101c,0,WETH,872.534959854187643402,OMG,244,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,0,872534959854187643402
0x50a32dd491485BFae6F85A6Fee94ef0cAdcc101c,0,WETH,343.422987818184368163,OMG,249,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,0,343422987818184368163
0x000000001e29fcd9B1469a7954DC65ff254FFfC0,0,WETH,499.501114758241067867,OMG,311,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,0,499501114758241067867
0x00000000Af5A61acAf76190794E3fdf1289288A1,0,WETH,2626.017121155765658806,OMG,472,Wrapped Ether,OMGToken,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18,18,0,2626017121155765658806
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,WETH,722.545697951414068165,KNC,31,Wrapped Ether,Kyber Network Crystal,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdd974D5C2e2928deA5F71b9825b8b646686BD200,18,18,0,722545697951414068165
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,WETH,333.915118546655446312,KNC,142,Wrapped Ether,Kyber Network Crystal,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdd974D5C2e2928deA5F71b9825b8b646686BD200,18,18,0,333915118546655446312
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,WETH,2347.088055036226223668,KNC,169,Wrapped Ether,Kyber Network Crystal,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdd974D5C2e2928deA5F71b9825b8b646686BD200,18,18,0,2347088055036226223668
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,WETH,6045.260487623217887524,KNC,173,Wrapped Ether,Kyber Network Crystal,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdd974D5C2e2928deA5F71b9825b8b646686BD200,18,18,0,6045260487623217887524
0xD6000fda0b38f4Bff4CfAb188E0bd18e8725a5e7,0,WETH,9667.265144427048155459,KNC,184,Wrapped Ether,Kyber Network Crystal,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdd974D5C2e2928deA5F71b9825b8b646686BD200,18,18,0,9667265144427048155459
0xB4C757A71D084dF8F9F393Cc47639701f595fd87,4.482232591529073942,WETH,0,KNC,1051,Wrapped Ether,Kyber Network Crystal,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdd974D5C2e2928deA5F71b9825b8b646686BD200,18,18,4482232591529073942,0
0x1221699827CAbEdbEfE04e08515A296d042c577F,0.0000995,WETH,0,KNC,90,Wrapped Ether,Kyber Network Crystal,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdd974D5C2e2928deA5F71b9825b8b646686BD200,18,18,99500000000000,0
0x2259099897AfAf3813fef3284b91D2B227b66AD4,0,WETH,6572.682448866672500383,KNC,2,Wrapped Ether,Kyber Network Crystal,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdd974D5C2e2928deA5F71b9825b8b646686BD200,18,18,0,6572682448866672500383
0x144Ce006a426227340247C2fF6dCFD058775BD32,0,GEN,0.08568525,WETH,68,DAOstack,Wrapped Ether,0x543Ff227F64Aa17eA132Bf9886cAb5DB55DCAddf,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,85685250000000000
0x52DF85E9De71aa1C210873bcF37EC46d36c99dc2,0,GEN,0.004975,WETH,51,DAOstack,Wrapped Ether,0x543Ff227F64Aa17eA132Bf9886cAb5DB55DCAddf,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,4975000000000000
0x1fa06c90982cA2D27108BA5c533ea1647AaF02AE,99.5,GEN,0,WETH,205,DAOstack,Wrapped Ether,0x543Ff227F64Aa17eA132Bf9886cAb5DB55DCAddf,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,99500000000000000000,0
0x00000000Af5A61acAf76190794E3fdf1289288A1,0,GEN,0.95162967722185209,WETH,597,DAOstack,Wrapped Ether,0x543Ff227F64Aa17eA132Bf9886cAb5DB55DCAddf,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,951629677221852090
0x00000000Af5A61acAf76190794E3fdf1289288A1,0,GEN,5.671017648417592989,WETH,600,DAOstack,Wrapped Ether,0x543Ff227F64Aa17eA132Bf9886cAb5DB55DCAddf,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,5671017648417592989
0x00000000Af5A61acAf76190794E3fdf1289288A1,0,GEN,0.802428034112843538,WETH,603,DAOstack,Wrapped Ether,0x543Ff227F64Aa17eA132Bf9886cAb5DB55DCAddf,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,802428034112843538
0x00000000Af5A61acAf76190794E3fdf1289288A1,0,GEN,0.841044453527939406,WETH,612,DAOstack,Wrapped Ether,0x543Ff227F64Aa17eA132Bf9886cAb5DB55DCAddf,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,841044453527939406
0x00000000Af5A61acAf76190794E3fdf1289288A1,0,GEN,0.789058338873114581,WETH,627,DAOstack,Wrapped Ether,0x543Ff227F64Aa17eA132Bf9886cAb5DB55DCAddf,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,789058338873114581
0x00000000Af5A61acAf76190794E3fdf1289288A1,0,GEN,0.692521913127817001,WETH,709,DAOstack,Wrapped Ether,0x543Ff227F64Aa17eA132Bf9886cAb5DB55DCAddf,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,0,692521913127817001
